grid_section_lat,grid_section_long,venue,v_lat,v_long,category,group,type
43.8198143,-111.78251599999999,University Store,43.8186629626658,-111.78276103499,College Bookstore,College Bookstore,College & University
43.8198143,-111.78251599999999,Enterprise CarShare,43.817889,-111.78084,Rental Car Location,Rental Car Location,Travel & Transport
43.8198143,-111.78251599999999,The Crossroads,43.818640834488896,-111.78270253308399,College Cafeteria,College Cafeteria,College & University
43.8198143,-111.78251599999999,MC Little Theater - Hyrum Manwaring Building,43.818168220491906,-111.782145771281,Jazz Club,Music Venue,Arts & Entertainment
43.8198143,-111.78251599999999,Tito's Tacos,43.8180176680419,-111.782093491876,Taco Place,Mexican Restaurant,Food
43.8198143,-111.78251599999999,Taylor Quad,43.8176800995781,-111.78248226642599,College Quad,College Quad,College & University
43.8198143,-111.78251599999999,Online Advising,43.818028000000005,-111.780469,Office,Office,Professional & Other Places
43.8198143,-111.78251599999999,Rexburg YSA 38th Ward Church,43.818279,-111.78261100000002,Church,Spiritual Center,Professional & Other Places
43.8198143,-111.78251599999999,BYU-Idaho Family History Computer Lab,43.8194351196289,-111.782508850098,College Classroom,College Classroom,College & University
43.8198143,-111.78251599999999,MC 142,43.818831,-111.782296,College Administrative Building,College Administrative Building,College & University
43.8198143,-111.78251599999999,MC Icomm Office,43.818065000000004,-111.78220800000001,Tech Startup,Office,Professional & Other Places
43.8198143,-111.78251599999999,Soapbox Agency,43.818056812217904,-111.782120186315,Office,Office,Professional & Other Places
43.8198143,-111.78251599999999,Grandpa's Southern BBQ,43.81819152832029,-111.78179931640601,BBQ Joint,BBQ Joint,Food
43.8198143,-111.78251599999999,BYUI Academic Discovery Center,43.8183560028366,-111.78335307888901,College Academic Building,College Academic Building,College & University
43.8198143,-111.78251599999999,MC Little Theatre 372A,43.818075,-111.782481,College Auditorium,College Auditorium,College & University
43.8198143,-111.77919106666701,Spencer W. Kimball Bldg.,43.817302537331,-111.781563748426,College Administrative Building,College Administrative Building,College & University
43.8198143,-111.77919106666701,BYU-I Academic Office,43.817398,-111.781318,College Administrative Building,College Administrative Building,College & University
43.8198143,-111.77919106666701,MC Bowling Alley,43.818624744405,-111.782734014484,Bowling Alley,Bowling Alley,Arts & Entertainment
43.8198143,-111.77919106666701,Café Kimball,43.8169020882977,-111.781479120255,College Cafeteria,College Cafeteria,College & University
43.8198143,-111.77919106666701,Executive Office,43.817456,-111.781586,College Administrative Building,College Administrative Building,College & University
43.8198143,-111.77919106666701,Financial Aid Office,43.8173027038574,-111.781524658203,College Administrative Building,College Administrative Building,College & University
43.8198143,-111.77919106666701,Housing & Student Living Office,43.817158,-111.781503,College Administrative Building,College Administrative Building,College & University
43.8198143,-111.7725412,YSA 48th Ward,43.815875,-111.77971799999999,Church,Spiritual Center,Professional & Other Places
43.8198143,-111.7725412,MC Special Events Room,43.8181484497394,-111.78137183189399,Conference Room,Office,Professional & Other Places
43.8198143,-111.769216266667,Avilla,43.814467214242605,-111.775861791425,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8198143,-111.765891333333,Legacy Ridge,43.811968896218005,-111.777210217745,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8198143,-111.765891333333,Gordon B. Hinckley Bldg.,43.8159195862753,-111.77972191534701,College Academic Building,College Academic Building,College & University
